"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"EPC1","EPC1",330,-0.50781052811513,-1.92659712476157,1e-10,3.26e-08,2.75789473684211e-08,2998,"tags=36%, list=18%, signal=30%","ESYT1/LRRC59/FLVCR1/FBXW8/PDAP1/DNPH1/YTHDF2/PMS2/SUV39H2/IPO11/TRPC4AP/DHX15/NOC4L/MTLN/RPL35A/EIF3E/ARHGAP11A/AIMP2/SLC4A2/TMED2/MRPL3/EIF5A/TSFM/DIMT1/DHX37/COA6/RAD23B/MRPL4/RPL23A/PINX1/G6PC3/MRPL15/RNPS1/EIF4A1/MDN1/MVK/SLC3A2/WDR5/ADRM1/MGME1/ACTL8/CAPRIN1/NUF2/KPNB1/FBXO41/PEMT/MRPS35/EPRS1/ANGEL1/ZP3/VEGFA/EMC8/DIAPH1/EZH2/SNAI1/NME1-NME2/PTBP1/NCL/CAD/PKM/BUD31/RBL1/METAP1D/YBX1/LSM14B/PUS1/PLOD3/GATC/BCAT1/HNRNPF/MTHFD1L/FADS1/TEX10/KICS2/BYSL/ALG3/PLD6/F12/TMEM39A/TRIM27/TOMM5/XPOT/SLBP/BANF1/YARS1/PTMA/AURKB/PRMT1/CCDC86/UTP25/NOP56/URB2/DARS1/CMSS1/UBE2S/PABPC1/ADNP/LDHB/NELFCD/CCNB1IP1/DCLRE1B/LARP1/PPAT/WDR43/MCM7/MIPEP/RANBP1/NME1/TARS1/CCT2/CCT4/ASNS/MTHFD2/RAN/B3GALNT2/EIF2S3/HMGA1/GPN3/GARS1/NCBP2"
"CASP8AP2","CASP8AP2",287,-0.494245323235749,-1.85751540724532,1.51307123841584e-09,2.46630611861781e-07,2.0864456024471e-07,2519,"tags=25%, list=16%, signal=22%","MRPS24/AGBL5/MRPL16/STX16-NPEPL1/RBAK-RBAKDN/SMG8/WDR31/COA6/MTBP/PSME2/GTF3C3/NDUFC2-KCTD14/CHTOP/SNRPD1/H2BC11/HPS4/DNAJA3/COPS7B/ZNHIT3/STX16/INTS13/LSM5/C17orf75/PIK3R3/TARS2/RPS7/RFC2/CHCHD2/CENPP/NME1-NME2/NOL8/NCL/LAS1L/STAT1/TMEM41A/MRPL13/ADAT2/DDX55/SNRPB2/PDRG1/ALG3/FAM98A/TGIF1/BMS1/GRPEL2/MROH8/PDCD2L/PCLAF/RPL37/RPN2/CPOX/NOLC1/MRPS15/MRPS23/FAM227A/HSPD1/RCC1/SF3A3/BZW2/KNSTRN/RANBP1/MRPL30/NME1/CUL4A/PTRH1/CDC123/NUDT5/SSBP1/PCID2/GSTCD/ILF2/CDC16"
"MYBL1","MYBL1",370,-0.420133155131505,-1.61095727495443,1.21898881543752e-06,0.000132463451277544,0.000112061427945484,3033,"tags=26%, list=19%, signal=22%","POLG2/CBX3/WDR74/CDKN1B/CENPM/NCAPG/RPLP0/TFAP2A/PMS2/ALG2/SEH1L/NR2C2AP/BRIX1/UFSP1/KBTBD2/SEC61B/INTS2/UBAP2/DUSP18/LDAH/AIMP2/FAM216A/RPS6/TMEM258/DCAF12/HNRNPK/CYP4X1/KRT18/RPL15/PHF5A/CANX/ANAPC5/RPL7A/TOMM40/SLC4A8/REXO5/MTPAP/FADS2/SRSF3/G3BP1/HENMT1/MYCBP2/EMC1/EZH2/PTPN13/NME1-NME2/NACA/PKM/UBE2I/NOP2/YWHAG/MARS1/STAT1/MRPL33/STT3A/RPA3/EIF3B/RPL12/KIF9/H2AX/PGD/CENPF/SPATS2/NEU3/HNRNPA1/LIG1/ALYREF/DCAF16/MARCHF9/SNRPB/SLC7A6OS/IMP4/RAD1/PRPF4/UBE2S/HSP90AB1/FXYD5/PSRC1/BMP4/DDX50/MRPS27/CNOT9/CDCA3/REXO2/CDK4/TRIM59/GNL3/NME1/KIFC1/CCT2/GSTCD/NUP155/PIWIL1/AJUBA/FEN1/RFWD3/GPN3/SH3TC2"
"FOXR2","FOXR2",193,-0.499186348654324,-1.81075113974588,1.81275363499108e-06,0.000147739421251773,0.000124984592728332,3389,"tags=38%, list=21%, signal=31%","EIF3I/TAF12/DUS3L/RPS14/RACK1/RPS16/DHX30/IPPK/DHX8/NUP35/RPS5/RPL8/PDAP1/DPM2/NTHL1/TRIM16/PPAN/PRPF6/ITPA/ZNF202/EIF3D/RPL32/SUPT4H1/UQCC4/NOP16/HM13/RPL6/RPS6/TMEM258/RPL27/YRDC/MRPS26/ADSL/RPS18/ERH/RPS25/EXOSC4/WDR18/AHSA1/RPS21/TCOF1/EIF4A1/UTP11/EIF3M/FADS2/GCN1/TSR1/M6PR/MRPL20/DNAAF5/MCMBP/ISG20L2/BUD31/EME1/MTHFD1L/PGK1/TRMT112/POLR3C/RSL1D1/C19orf53/TWNK/NIP7/BANF1/YARS1/SAMD10/GTF2H3/DDX21/GTPBP4/MRPS23/RANBP1/CDC45/EIF2S3/FEN1/POLR1B"
"HSF2","HSF2",211,-0.481309049618027,-1.75012930357365,3.28652732166212e-06,0.00021428158137237,0.000181277928057995,2556,"tags=26%, list=16%, signal=22%","MICB/FLAD1/CFAP68/MRPL18/KAT2A/SRP72/PCNA/HMGB1/ABCC2/CCT8/DNAJB6/KNTC1/GTF3C3/XPNPEP3/H2BC11/RANGAP1/ME1/CAPRIN1/TCP1/HSP90AA1/NOP58/NME1-NME2/CASP4/TSEN15/STIL/MORF4L2/GLO1/ELOVL5/CCT7/QPCT/STIP1/PGK1/EARS2/PGAM5/PCBD1/CXCL9/CKS2/GPN1/HSPH1/DARS1/PAQR4/UBFD1/HSPD1/HSPA8/NKRF/NME1/CCT6A/CCT2/CCT4/CCT5/ITGA2/CKS1B/ATPSCKMT/MATCAP2/PSPH"
"NR1I2","NR1I2",293,-0.425312179057946,-1.59600315408246,2.00783200464645e-05,0.0010909220558579,0.000922898219679595,2706,"tags=27%, list=17%, signal=23%","SCARB1/MLST8/COA4/GTF2H4/PPAN/CFAP68/UBE2H/AGBL5/SLC12A2/PLAUR/PEX5/C5orf34/SLC12A9/STOML2/DDX39A/RBM22/SLC2A1/MRPL36/CDK12/CEP85/NAXE/SLC3A2/SLC37A3/TRIM28/CCNI2/AMPD2/NAA80/TUBG1/DESI1/MCMBP/NAP1L4/SIM2/BUD31/EFTUD2/CKAP2/RAB5IF/PUS1/TULP3/ENO1/HYAL3/RAD51/RHNO1/KDM1A/COPZ1/FOXM1/NFE2L3/TOPBP1/NLN/CTSH/SMIM30/TMEM39A/SFR1/PNO1/IMPDH1/HOMER1/PSMC2/DDX21/MEST/TMEM14A/PAICS/HSP90AB1/PABPC1/C2CD4A/NAT10/CDCA3/PPAT/YEATS2/NUP205/NME1/PPIA/DHCR7/NCAPD3/ASNS/FEN1/RACGAP1/KLHL35/ENC1/GARS1/NCBP2"
"ZZZ3","ZZZ3",258,-0.43202132305421,-1.60838668823586,3.51792572022868e-05,0.00146143013753464,0.00123634063943841,3313,"tags=33%, list=20%, signal=27%","RPS14/HNRNPU/RPS10/WDR76/RPL10A/RPS10-NUDT3/PCBP2/RPL8/RPL36/RPL11/MAP3K8/FANCB/RPS15A/RPL37A/STK3/DEGS1/NR2F1/AFMID/DHX15/SMARCD2/ANKLE2/ARPC5L/RPL35A/RPL32/DNA2/RPL6/KAT2A/RPL29/SMG8/RPL27/LAMTOR5/RPS20/RPS4X/RPL15/RPS18/MTBP/H2BC11/MPV17/RPS3/RNPS1/UBE3C/TIMM9/NREP/FOXS1/SMC1A/ATAD3A/RPL24/HDAC8/RPS7/TGM2/ZMYM3/NACA/UBE2I/PHF20/NUP188/TGS1/MRPL13/RPS2/PGK1/AARS1/PUM1/DHX9/SMARCC1/MCM3/PNO1/CDCA7/WDR77/TK1/SNRPB/PSMD1/RPL39/FANCI/RPL37/SMYD2/RPL7/E2F3/PRPF4/XPO5/STX6/ATP6V1E2/SF3B3/YEATS2/CCT4/STRIP2/NUP155/ADAMTSL5"
"NPM1","NPM1",307,-0.413944196159931,-1.55615746285554,3.58633162585187e-05,0.00146143013753464,0.00123634063943841,3790,"tags=33%, list=23%, signal=26%","WDR5B/RPS8/RPL27A/TMEM209/RPL18/TBCCD1/COPS5/DPY19L4/POLDIP2/IFRD1/RPS19/DIDO1/PUF60/HSPA4/ZNF251/ATXN2L/RINT1/COPA/FNTA/GOT2/RPL10A/DHX30/INTS4/PCBP2/RPL10/ZNF250/GOLGA7/CACYBP/TIPIN/RAI1/RRN3/CAMSAP2/RPL37A/YTHDF2/BRIX1/ZNF367/AGAP3/EIF3G/NEK4/ZNF202/ORC5/POLR3D/UPF3A/RBM39/MOSPD3/EIF5A/RPS20/COA1/POLQ/GTPBP3/TCF3/RPL7A/DNAJA3/EMD/CDK12/DNAJB11/HUWE1/SMG7/MDC1/GFUS/RPS7/HENMT1/M6PR/MYCBP2/ZNF35/RAG1/PSMD6/EMC8/DUSP12/SEM1/SEPTIN2/RRP1B/YBX1/RPL12/GATC/POLR3C/NLE1/BYSL/KDM1A/HSF2BP/NOM1/POLR1H/SKA3/SNRPE/ANKRD46/NIP7/TFB2M/MRGBP/SSRP1/TIMM10/RAD1/COPS8/TMTC4/NOP14/MRPL57/CDC25B/ADNP/SF3A3/WDR43/PPIA/NUP155"
"RUVBL1","RUVBL1",140,-0.505585796894613,-1.78012686616497,4.62693859399434e-05,0.00150838198164216,0.00127606095960686,2611,"tags=26%, list=16%, signal=22%","PFKM/C1orf174/CENPK/LDLR/POLR3E/SHF/AAR2/C17orf75/PRDX1/TPD52L2/SRSF3/RPL24/IPO4/ATP7B/METTL1/NACA/HNRNPC/SMPD4/GPT2/IMPDH2/UBAC2/SEC23B/PUM1/PRMT5/RPRD1B/BANF1/SNRPB/SNRPG/PCLAF/NCOA7/HSP90AB1/RPL7L1/TTI1/RCC1/MRPL30/ILF2"
"ELF5","ELF5",412,-0.38629311980422,-1.49563930729856,4.1896234511822e-05,0.00150838198164216,0.00127606095960686,2643,"tags=24%, list=16%, signal=21%","NOC3L/SMARCD2/LFNG/UGGT1/SLC33A1/DDX56/MRPL52/RPL32/STX16-NPEPL1/NOP16/RPL6/RPL29/C5orf34/SMG8/VGLL4/LSG1/ERH/FGGY/RBM22/MROH6/SLC2A1/CDIN1/MTFR2/GPR180/STMN3/CNBD2/WDHD1/STX16/INTS13/LSM5/TNPO3/SMG7/CCDC77/RPS7/SHB/CHCHD2/PTPN11/RBM3/TUBA1C/CARS2/DPM1/NOL10/NOP2/RPL36A-HNRNPH2/LAS1L/PDCD2/MORF4L2/E2F6/HNRNPF/ECT2/SNRPB2/MOCS3/RABEPK/RPL36A/C8orf76/EARS2/HPS5/SLC25A14/EAF1/ACACA/PGM2/GTF2H1/C19orf53/NOB1/DPAGT1/GPX8/BMS1/HIKESHI/YAP1/GRPEL2/TDP1/EIF2AK1/BANF1/YARS1/GTSE1/EXOC2/GTF3C4/PCLAF/RPL37/TIMM10/SEC61G/DDX31/UBFD1/INCENP/SLC7A11/ANO6/HSPD1/SF3A3/HSPA8/TRIP13/WDR43/MIPEP/LYN/NUP42/SSBP1/GSTCD/GARS1/NCBP2/PSMA1"
